"Unnamed: 0","annotation_id","annotator","comment_text","created_at","id","lead_time","likes","replies","sentiment","updated_at","video_id"
8106,71,"1","Это ебанный топ, ребят!","2025-01-04T13:28:53.523561Z",1160,7.034,0,0,"1","2025-01-04T13:29:08.970889Z","etn4P80K5WU"
1287,72,"1","Beyonce preach!","2025-01-04T13:28:56.061476Z",1161,1.584,0,0,"1","2025-01-04T13:28:56.061476Z","4MkC65emkG4"
7348,73,"1","What's with the tribute music every time you drop it . . ? The violins and strings ensemble 😂😂 this phone sucks tho. Compared to other market leaders","2025-01-04T13:29:02.589121Z",1162,5.625,0,0,"-1","2025-01-04T13:29:02.589121Z","ktl2mLsSq4o"
8353,74,"1","you also wouldn't find Koala's in Denmark","2025-01-04T13:29:16.328600Z",1163,6.542,0,0,"0","2025-01-04T13:29:16.328600Z","kCKTmL5Hn-M"
6719,75,"1","I was with It, more or less, right up to the point where the kids locate the house and decide to wander in and tackle the supernatural killer monster with, uh... friendship? Stern disapproval? I guess they thought they'd prove it was real by having it tear them all to shreds. I found it tough to y'know, BUY IN after that point. Not to go all in the book, but in the book they plan the EFF out of their first assault on it. With weapons, even!","2025-01-04T13:29:42.511282Z",1164,25.145,0,0,"0","2025-01-04T13:29:42.511282Z","bp6uJJJMaLs"
6786,76,"1","I'm in love with the song at the end of all Gus's videos WHERE IS IT FROM I NEED TO KNOW","2025-01-04T13:29:48.204326Z",1165,4.822,0,0,"0","2025-01-04T13:29:48.204326Z","ah8SQNOXgrQ"
1128,77,"1","Jennifer Lawrence is an idiot","2025-01-04T13:29:52.090129Z",1166,2.714,0,0,"-1","2025-01-04T13:29:52.091130Z","l864IBj7cgw"
5936,78,"1","😒","2025-01-04T13:29:54.537500Z",1167,1.518,0,0,"-1","2025-01-04T13:29:54.537500Z","GpAuCG6iUcA"
9414,79,"1","im not sure what im going through. its not good to self diagnose but i feel like i may have dissociation or derealization. i feel very spaced out and hopeless in certain situations regarding relationships and being interested in getting closer to someone (or sometimes just in general). i become very tired and want to cry, and i have no clue whats going on around me. my hands begin to doodle random things on my classwork and i dont understand what ive just learned when my lesson is over. i hear everything and do my work but i also dont have any clue of what im working on. i feel like sometimes i will doodle on my paper while not even looking at it and but i can see what im drawing. i very often draw eyes when i feel this way. they are always crying or rolling into the back of the head. im not sure what im feeling but if you could help me find out i would greatly appreciate it. - x mirae","2025-01-04T13:30:02.389358Z",1168,6.982,0,0,"-1","2025-01-04T13:30:02.389358Z","u6iVspBWzZU"
7880,80,"1","Probably their government got big and ate the honest citizenry.","2025-01-04T13:30:15.994817Z",1169,12.581,0,0,"-1","2025-01-04T13:30:15.994817Z","ppGCbh8ggUs"
1748,81,"1","Notice how Everytime he uploads it ends up on Trending","2025-01-04T13:30:19.705177Z",1170,2.788,0,0,"0","2025-01-04T13:30:19.705177Z","w8fAellnPns"
8255,82,"1","Haha this is funny! *cries softly into pillow*","2025-01-04T13:30:31.850089Z",1171,11.194,0,0,"-1","2025-01-04T13:30:31.850089Z","B_CHjYoqPUU"
9849,83,"1","I find your videos very stisfing sorry I spellt is wrong same with spellt","2025-01-04T13:30:38.303858Z",1172,5.481,0,0,"0","2025-01-04T13:30:38.303858Z","3x-sUsazQ90"
4388,84,"1","Nice video dear😊😊","2025-01-04T13:30:41.427927Z",1173,1.831,0,0,"1","2025-01-04T13:30:41.427927Z","hQbeB0YXLhs"
5488,85,"1","Here before one million views; )","2025-01-04T13:30:45.880136Z",1174,3.485,0,0,"1","2025-01-04T13:30:45.880136Z","c7ymY8QEB2g"
6463,86,"1","@mkbhd #mkbhd I see your hands at 2:07 who agrees.","2025-01-04T13:30:50.728240Z",1175,3.932,1,0,"0","2025-01-04T13:30:50.728240Z","k9bYO7uSnrg"
1277,87,"1","Im a great comedian that has gotten millions of views and thought about suicide i was thinking about drowning myself so many times if you all wanna save me please DM me on instagram @comedian_thefreshman they all say I might be better than Kevin Hart","2025-01-04T13:30:54.372257Z",1176,2.79,0,0,"1","2025-01-04T13:30:54.372257Z","4MkC65emkG4"
5536,88,"1","Love me from Iraqi","2025-01-04T13:30:56.883133Z",1177,1.534,2,0,"1","2025-01-04T13:30:56.883133Z","c7ymY8QEB2g"
4234,89,"1","OMG!! #WILODIA !! U GUYS ARE SO CUTE!","2025-01-04T13:30:59.404326Z",1178,1.616,0,0,"1","2025-01-04T13:30:59.404326Z","zTjcPeb2Gwg"
5771,90,"1","I'm australian.... Is chicken NOT a normal chip flavour??","2025-01-04T13:31:03.811668Z",1179,3.534,1,0,"0","2025-01-04T13:31:03.811668Z","08RHSZvixec"
6824,91,"1","That song at the end always calms me","2025-01-04T13:31:08.976044Z",1180,4.148,0,0,"1","2025-01-04T13:31:08.976044Z","ah8SQNOXgrQ"
6215,92,"1","I live in India😕","2025-01-04T13:31:11.312202Z",1181,1.469,0,0,"0","2025-01-04T13:31:11.312202Z","yiblDn4JGfQ"
151,93,"1","say the word cracker.. journos wont care because theres a huge double standard and they hate white people!","2025-01-04T13:31:17.841273Z",1182,5.647,0,0,"-1","2025-01-04T13:31:17.841273Z","cLdxuaxaQwc"
8285,94,"1","I guess the worse thing that could happen out of the top of my head is you tell her you have deep feelibgs for her she tells you that she has deep feelibg for you as well but wants to take it slow and not rush into a relarionship and then she leaves for 2 months to her old city and she wants you to go but you have a new job and no money so one of her guy friends tag along she stops talking to for the whole trip then she comes back and tells you her and the guy are now dating and have been for 3 weels now you try to get some kind of explonation and then she does a total 180 and tells you that you didnt understand her and that she had deep feelings for me only as a friend and then you bring up the time you two almost kissed and she says that never happened and she says that she still wants to be friends I guess that would be the worst that could happen.","2025-01-04T13:31:23.313849Z",1183,4.561,0,0,"0","2025-01-04T13:31:23.313849Z","B_CHjYoqPUU"
7153,95,"1","Oh Maru, you've done it again! What a silly kitty!","2025-01-04T13:31:29.793986Z",1184,5.32,0,0,"0","2025-01-04T13:31:29.793986Z","Vjc459T6wX8"
7785,96,"1","Can't wait for the video on zip files :)","2025-01-04T13:31:35.038109Z",1185,2.479,0,0,"1","2025-01-04T13:31:35.038109Z","JsTptu56GM8"
1291,97,"1","Beyonce at 12:31","2025-01-04T13:31:37.529623Z",1186,1.481,1,0,"0","2025-01-04T13:31:37.529623Z","4MkC65emkG4"
865,98,"1","Eww sponsored by T-Mobile","2025-01-04T13:31:45.321211Z",1187,6.603,0,0,"0","2025-01-04T13:31:45.321211Z","zgLtEob6X-Q"
2904,99,"1","For years I've always disliked Radiohead's music. I've always thought it was depressing, droning, never understood what people see in it but.......\n\nI think I get it now. It really makes you think about shit. Absolute geniuses! Fair play","2025-01-04T13:33:02.856147Z",1188,6.902,0,0,"1","2025-01-04T13:33:02.856147Z","QBGaO89cBMI"
2931,100,"1","how to get 800 likes?","2025-01-04T13:33:07.031558Z",1189,3.387,0,0,"0","2025-01-04T13:33:07.031558Z","QBGaO89cBMI"
8721,101,"1","Picklee Rickkkk","2025-01-04T13:33:09.634872Z",1190,1.782,0,0,"0","2025-01-04T13:33:09.634872Z","oePt4JgdyZo"
5360,102,"1","I love that Daniel pronounces Voldemort in that annoyingly correct way, instead of how the say it in the movies.","2025-01-04T13:33:12.805094Z",1191,2.314,0,0,"0","2025-01-04T13:33:12.805094Z","LTnl36-0-zU"
3140,103,"1","I FUCKING ADORE MAC HE IS SO CUTE WTF","2025-01-04T13:33:16.017479Z",1192,1.968,0,0,"-1","2025-01-04T13:33:16.017479Z","JO7X9ZPoAp8"
683,104,"1","How would you screenshot?","2025-01-04T13:33:19.847098Z",1193,2.196,1,0,"0","2025-01-04T13:33:19.847098Z","_HTXMhKWqnA"
8006,105,"1","She should be in prison","2025-01-04T13:33:23.253596Z",1194,2.491,0,0,"0","2025-01-04T13:33:23.253596Z","tteLMfFDCb4"
8963,106,"1","Ingrid, what is the lipstick you're wearing in the video? I've been trying to find a shade like that for ages and it's been a trial and error kind of thing because, as you pointed out, you can't try drugstore makeup out before buying it so I've been getting these shades and have been really disappointed. Also, is that lipstick you have something you would recommend?","2025-01-04T13:33:33.489634Z",1195,9.363,0,0,"0","2025-01-04T13:33:33.489634Z","gmXuUgB7T3Y"
9986,107,"1","Guys get your financials straight!  This is what women experience every time they reach into their purse to pay for your shit.","2025-01-04T13:33:38.807188Z",1196,3.948,0,0,"-1","2025-01-04T13:33:38.807188Z","lwOQbMcXtfU"
3878,108,"1","We stand in the shoulders of giants... And through my phone and the information age I can see everywhere... I am an introvert who hates small talk, my world has grown significantly... Its not your phone, but how you use it... Ironically I used my phone to watch this video...","2025-01-04T13:33:45.757570Z",1197,5.979,0,0,"-1","2025-01-04T13:33:45.757570Z","LDcm6twPEJA"
56,109,"1","Attack of titan squad were u at👻❤️😂","2025-01-04T13:33:49.375945Z",1198,2.407,0,0,"1","2025-01-04T13:33:49.375945Z","XpVt6Z1Gjjo"
4371,110,"1","New subscriber 💕💕💕","2025-01-04T13:33:52.537075Z",1199,2.243,0,0,"0","2025-01-04T13:33:52.537075Z","hQbeB0YXLhs"
1022,111,"1","I just realized this was Rudy....","2025-01-04T13:33:56.409953Z",1200,2.356,0,0,"0","2025-01-04T13:33:56.409953Z","CsdzflTXBVQ"
8646,112,"1","there's a lot of videos on youtube exploring the philosophy and psychology of Rick and Morty, but this video is the deepest. BY FAR.\nThank you so much ScreenPrism <3","2025-01-04T13:33:59.146002Z",1201,1.953,1,0,"0","2025-01-04T13:33:59.146002Z","oePt4JgdyZo"
9284,113,"1","Shut up, pigs, she is doing just fine.  Men suck.","2025-01-04T13:34:14.924230Z",1202,5.78,16,15,"-1","2025-01-04T13:34:14.924230Z","fCh5TVGaTSg"
5831,114,"1","wooh I live in Perth","2025-01-04T13:34:18.171884Z",1203,2.412,0,0,"1","2025-01-04T13:34:18.171884Z","iXexmZm3_j8"
